page_id,doc_id,pdf_name,pdf_path,page_idx,image_name,image_path,image_rel_path,dpi
fr3_operating_manual:0044,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,44,page_0044.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0044.png,data/pages/fr3_operating_manual/page_0044.png,160
fr3_operating_manual:0045,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,45,page_0045.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0045.png,data/pages/fr3_operating_manual/page_0045.png,160
fr3_operating_manual:0046,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,46,page_0046.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0046.png,data/pages/fr3_operating_manual/page_0046.png,160
fr3_operating_manual:0047,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,47,page_0047.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0047.png,data/pages/fr3_operating_manual/page_0047.png,160
fr3_operating_manual:0048,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,48,page_0048.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0048.png,data/pages/fr3_operating_manual/page_0048.png,160
fr3_operating_manual:0049,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,49,page_0049.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0049.png,data/pages/fr3_operating_manual/page_0049.png,160
fr3_operating_manual:0050,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,50,page_0050.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0050.png,data/pages/fr3_operating_manual/page_0050.png,160
fr3_operating_manual:0051,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,51,page_0051.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0051.png,data/pages/fr3_operating_manual/page_0051.png,160
fr3_operating_manual:0052,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,52,page_0052.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0052.png,data/pages/fr3_operating_manual/page_0052.png,160
fr3_operating_manual:0053,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,53,page_0053.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0053.png,data/pages/fr3_operating_manual/page_0053.png,160
fr3_operating_manual:0054,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,54,page_0054.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0054.png,data/pages/fr3_operating_manual/page_0054.png,160
fr3_operating_manual:0055,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,55,page_0055.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0055.png,data/pages/fr3_operating_manual/page_0055.png,160
fr3_operating_manual:0056,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,56,page_0056.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0056.png,data/pages/fr3_operating_manual/page_0056.png,160
fr3_operating_manual:0057,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,57,page_0057.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0057.png,data/pages/fr3_operating_manual/page_0057.png,160
fr3_operating_manual:0058,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,58,page_0058.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0058.png,data/pages/fr3_operating_manual/page_0058.png,160
fr3_operating_manual:0059,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,59,page_0059.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0059.png,data/pages/fr3_operating_manual/page_0059.png,160
fr3_operating_manual:0060,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,60,page_0060.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0060.png,data/pages/fr3_operating_manual/page_0060.png,160
fr3_operating_manual:0061,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,61,page_0061.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0061.png,data/pages/fr3_operating_manual/page_0061.png,160
fr3_operating_manual:0062,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,62,page_0062.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0062.png,data/pages/fr3_operating_manual/page_0062.png,160
fr3_operating_manual:0063,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,63,page_0063.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0063.png,data/pages/fr3_operating_manual/page_0063.png,160
fr3_operating_manual:0064,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,64,page_0064.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0064.png,data/pages/fr3_operating_manual/page_0064.png,160
fr3_operating_manual:0065,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,65,page_0065.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0065.png,data/pages/fr3_operating_manual/page_0065.png,160
fr3_operating_manual:0066,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,66,page_0066.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0066.png,data/pages/fr3_operating_manual/page_0066.png,160
fr3_operating_manual:0067,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,67,page_0067.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0067.png,data/pages/fr3_operating_manual/page_0067.png,160
fr3_operating_manual:0068,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,68,page_0068.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0068.png,data/pages/fr3_operating_manual/page_0068.png,160
fr3_operating_manual:0069,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,69,page_0069.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0069.png,data/pages/fr3_operating_manual/page_0069.png,160
fr3_operating_manual:0070,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,70,page_0070.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0070.png,data/pages/fr3_operating_manual/page_0070.png,160
fr3_operating_manual:0071,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,71,page_0071.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0071.png,data/pages/fr3_operating_manual/page_0071.png,160
fr3_operating_manual:0072,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,72,page_0072.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0072.png,data/pages/fr3_operating_manual/page_0072.png,160
fr3_operating_manual:0073,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,73,page_0073.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0073.png,data/pages/fr3_operating_manual/page_0073.png,160
fr3_operating_manual:0074,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,74,page_0074.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0074.png,data/pages/fr3_operating_manual/page_0074.png,160
fr3_operating_manual:0075,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,75,page_0075.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0075.png,data/pages/fr3_operating_manual/page_0075.png,160
fr3_operating_manual:0076,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,76,page_0076.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0076.png,data/pages/fr3_operating_manual/page_0076.png,160
fr3_operating_manual:0077,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,77,page_0077.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0077.png,data/pages/fr3_operating_manual/page_0077.png,160
fr3_operating_manual:0078,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,78,page_0078.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0078.png,data/pages/fr3_operating_manual/page_0078.png,160
fr3_operating_manual:0079,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,79,page_0079.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0079.png,data/pages/fr3_operating_manual/page_0079.png,160
fr3_operating_manual:0080,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,80,page_0080.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0080.png,data/pages/fr3_operating_manual/page_0080.png,160
